2024-05-01|16:24|Client strategy lunch|The Capital Grille|-120.50
2025-05-01|10:30|New workstation for developer|Dell|-1,349.00
2025-05-01|13:05|Office supply restock|Staples|-215.30
2024-05-01|11:05|Enterprise client invoice paid|ACH Transfer|6,200.00
2025-05-01|17:33|Emergency laptop charger for CTO|Amazon|-89.99
2025-04-30|10:03|Service package deposit|Stripe|2,750.00
2025-04-30|11:46|Team appreciation breakfast|Starbucks|-58.40
2024-04-30|13:37|Client milestone payment|Wire Transfer|4,300.00
2025-04-29|11:25|Advance for consulting package|Stripe|3,150.00
2025-04-29|10:44|Custom gift basket for client|Etsy|-99.90
2025-04-29|08:59|Business credit card payment|Amex|-2,500.00
2025-04-28|12:38|Quarterly client billing (partial)|PayPal|1,800.00
2025-04-28|17:58|Annual retainer renewal|ACH Transfer|8,000.00
2024-04-27|11:28|Working lunch during sprint|Panera Bread|-42.75
2025-04-27|17:23|SSD upgrade for design team|Newegg|-210.99
2025-04-26|10:41|Company card payment|Amex|-1,850.00
2024-04-26|17:16|Consultation deposit received|Stripe|1,250.00
2025-04-25|13:14|New ergonomic chairs (bulk)|Office Depot|-789.45
2024-04-25|15:30|Project milestone release payment|Wire Transfer|5,700.00
2025-04-24|11:27|Installment for business expansion loan|Bank|-1,200.00
2025-04-23|14:37|New wireless keyboards|Best Buy|-149.99
2024-04-22|09:52|Client invoice paid in full|Stripe|3,600.00
2025-04-22|08:40|Tax refund received|IRS|1,200.00
2025-04-21|10:02|Consulting retainer|Stripe|4,000.00
2025-04-21|15:02|Platform referral bonus|PayPal|500.00
2024-04-20|11:53|Wireless mouse replacements|Amazon|-97.50
2025-04-01|11:11|Lunch with investor|The Palm NYC|-145.00
2025-04-10|09:02|New monitors for team|Dell|-865.00
2025-04-12|17:04|Bulk office supplies|Amazon|-364.10
2025-04-09|12:32|Client invoice processed|PayPal|2,400.00
2024-04-06|08:48|Thank you gifts for referrals|Etsy|-78.60
2025-04-17|16:36|Service payment received|Stripe|3,800.00
2025-04-14|17:20|Enterprise contract deposit|Wire Transfer|10,000.00
2025-04-03|13:24|Credit card payment|Amex|-1,600.00
2025-04-05|10:28|Loan payment|Bank|-950.00
2025-04-07|15:16|Lunch with legal advisor|Ruth’s Chris Steak House|-132.00
2024-04-11|12:55|High-performance RAM upgrade|Corsair|-175.00
2025-04-04|15:48|Client payment for analytics services|PayPal|2,150.00
2025-04-08|17:50|Coffee during remote team call|Starbucks|-25.60
2025-04-13|10:45|Quarterly retainer received|Stripe|6,000.002025-05-01|12:40:27|Company office party|Dominos|-375.25
